,name,seed,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30,Round 31
50,Mark Przybyszewski,51,44,32,26,14,25,42,49,41,47,51,45,50,43,37,30,40,35.0,39,44,51,51,57,52,48,53,53,55,52,48,45,41
51,Tasha Asberry,52,58,62,46,53,43,35,48,54,48,52,56,59,56,51,55,59,59.0,58,54,48,45,48,51,45,50,46,46,38,41,43,46
52,Mitchell Brook,53,61,63,54,42,50,53,45,53,57,49,55,56,54,49,45,49,49.0,56,51,54,50,56,58,59,60,61,62,63,62,63,63
53,Jonathan Lindh,54,36,56,37,31,38,49,40,47,53,56,52,55,59,56,51,53,58.0,57,58,55,49,53,56,54,49,44,43,43,45,49,55
54,Bruce D Ambrosio,55,27,46,52,57,48,39,44,37,46,37,43,51,44,38,32,39,44.0,51,56,50,52,49,53,47,42,50,50,53,49,55,51
55,Michael Early,56,57,43,24,36,25,41,47,55,58,50,44,37,32,25,33,25,36.0,40,34,41,35,42,36,40,35,28,24,33,36,38,43
56,Stefan Fatsis,57,54,35,41,54,62,63,65,61,59,60,64,64,62,63,62,61,60.0,61,63,63,64,62,63,62,62,59,54,59,58,53,48
57,Sal Piro,58,43,38,47,37,47,56,60,59,56,59,62,65,65,62,64,65,64.0,65,64,64,65,65,64,63,63,63,63,62,63,62,61
58,Paul Holser,59,35,50,34,26,17,34,24,17,26,33,42,48,53,46,52,54,51.0,47,42,37,44,47,50,44,52,48,47,47,47,44,47
59,Greg Heidler,60,63,45,29,39,27,18,32,23,33,41,46,39,46,39,31,38,34.0,38,43,38,46,38,42,46,51,47,45,46,46,52,56
60,Mark Miller,61,19,12,7,15,10,22,30,40,50,53,57,52,57,59,61,60,61.0,62,62,61,62,63,62,64,64,64,64,64,64,65,64
61,Marlene Milkent,62,56,59,63,62,64,58,51,57,60,54,47,41,48,52,47,42,37.0,42,47,52,54,50,45,41,36,40,37,40,42,48,44
62,Tom Bond,63,50,60,50,60,63,65,61,64,64,62,65,61,58,60,54,58,55.0,50,55,57,60,61,59,60,61,62,61,60,59,54,57
63,Mary E Goulet,64,33,34,22,33,51,54,58,63,63,61,63,60,61,64,65,63,65.0,60,59,62,61,59,60,61,57,60,57,61,60,60,58
64,Siri Tillekeratne,65,28,17,27,43,20,32,42,52,55,58,53,57,60,58,59,62,63.0,64,65,65,63,64,65,65,65,65,65,65,65,64,65
